#Time,average[R],average[X],average[Y],average[Z],average[A]
0,0.0000,0.0000,0.0000,0.0000,0.0000
2,6.9257,2.2719,2.2654,2.3884,2.6317
4,13.2522,4.1661,4.4179,4.6683,3.6404
6,20.0019,6.2221,6.8765,6.9033,4.4723
8,26.7808,8.5968,8.8566,9.3273,5.1750
10,33.1381,11.5398,10.4698,11.1285,5.7566
12,38.2109,13.5768,12.1836,12.4506,6.1815
14,44.8919,16.0937,14.0896,14.7086,6.7001
16,52.0060,19.0140,16.1221,16.8699,7.2115
18,57.3788,20.7228,18.1885,18.4674,7.5749
20,62.2310,22.3280,20.1909,19.7121,7.8887
22,67.3391,24.1893,21.5131,21.6366,8.2060
24,72.2918,25.1016,23.9795,23.2107,8.5025
26,76.9012,25.5234,25.8004,25.5774,8.7693
28,79.9446,25.9140,27.1943,26.8363,8.9412
30,85.0371,27.1088,28.5824,29.3459,9.2216
32,91.6002,29.5094,30.9062,31.1846,9.5708
34,96.7075,31.8430,31.6167,33.2479,9.8340
36,101.0581,33.9063,33.0431,34.1087,10.0528
38,107.1845,35.3595,35.9644,35.8606,10.3530
40,112.7541,37.0897,37.6284,38.0360,10.6186
42,117.9202,39.1770,39.1953,39.5479,10.8591
44,121.7998,40.2370,41.0053,40.5576,11.0363
46,127.7594,42.5009,42.8360,42.4225,11.3031
48,133.8521,44.7373,45.3722,43.7426,11.5694
50,138.4312,45.7221,47.0215,45.6876,11.7657
52,147.0012,48.6978,50.0938,48.2095,12.1244
54,152.4743,50.8446,51.3176,50.3122,12.3481
56,160.0636,52.6305,54.0431,53.3900,12.6516
58,164.9838,54.8860,54.3760,55.7218,12.8446
60,169.6574,56.5471,56.8593,56.2511,13.0253
62,176.6139,58.4482,58.2003,59.9654,13.2896
64,183.2761,59.9884,60.5031,62.7846,13.5380
66,186.2650,61.6525,61.1063,63.5062,13.6479
68,190.9836,64.5232,61.4757,64.9847,13.8197
70,196.8591,66.1571,63.3665,67.3355,14.0306
72,203.2507,70.2582,64.8604,68.1321,14.2566
74,211.6669,73.0059,67.6792,70.9819,14.5488
76,217.9008,75.3204,70.2612,72.3192,14.7615
78,223.1064,77.6673,71.9132,73.5259,14.9367
80,233.0124,80.8607,75.0237,77.1280,15.2647
82,236.0761,83.0438,76.0460,76.9862,15.3648
84,238.9337,84.4452,76.6330,77.8554,15.4575
86,242.7034,84.6797,78.2814,79.7423,15.5789
88,250.4253,88.0120,79.8883,82.5251,15.8248
90,257.9625,91.4244,81.2782,85.2599,16.0612
92,265.5165,92.0259,86.3693,87.1212,16.2947
94,269.3365,91.7786,87.0412,90.5167,16.4115
96,275.2603,93.3671,89.0178,92.8754,16.5910
98,283.3128,95.8134,93.0467,94.4527,16.8319
100,289.2370,97.5278,94.8786,96.8306,17.0070
102,296.4601,98.8555,96.9665,100.6381,17.2180
104,301.8059,101.2314,99.2046,101.3700,17.3726
106,309.1316,104.2483,100.7426,104.1408,17.5821
108,315.5989,105.8270,103.8666,105.9053,17.7651
110,322.1832,108.5675,104.6028,109.0130,17.9495
112,325.5038,110.6337,104.1393,110.7308,18.0417
114,331.2748,113.2364,105.7436,112.2948,18.2010
116,337.4711,113.5526,109.0318,114.8867,18.3704
118,344.2236,117.2527,110.7184,116.2525,18.5533
120,349.8397,118.0640,112.6882,119.0875,18.7040
122,355.1817,119.9755,114.2712,120.9350,18.8463
124,358.7541,119.2354,116.6002,122.9186,18.9408
126,367.5673,121.5391,119.8382,126.1899,19.1720
128,371.0034,123.9535,119.4574,127.5925,19.2614
130,374.7507,124.7375,121.7239,128.2894,19.3585
132,380.0302,127.9141,123.6950,128.4211,19.4944
134,385.6822,128.9994,125.3967,131.2860,19.6388
136,390.9818,131.5111,128.0008,131.4699,19.7733
138,396.5172,133.3459,129.8406,133.3307,19.9127
140,401.2945,136.0141,130.8639,134.4165,20.0323
142,406.9628,138.4456,130.6600,137.8571,20.1733
144,411.6884,139.1034,133.6053,138.9797,20.2901
146,416.8372,139.0969,136.8322,140.9082,20.4166
148,422.0895,140.2555,138.4918,143.3422,20.5448
150,427.5002,142.6650,139.7680,145.0672,20.6761
152,433.9047,145.7668,141.1996,146.9382,20.8304
