#Time,average[R],average[X],average[Y],average[Z],average[A]
0,0.0000,0.0000,0.0000,0.0000,0.0000
2,3.3171,0.9973,1.1338,1.1860,1.8213
4,5.4963,1.6736,1.8530,1.9697,2.3444
6,8.0196,2.3297,2.7994,2.8904,2.8319
8,9.6253,3.0504,3.1833,3.3915,3.1025
10,11.5099,3.6781,3.8507,3.9811,3.3926
12,13.3324,4.2479,4.4355,4.6490,3.6514
14,15.6995,5.2908,5.3212,5.0874,3.9623
16,18.1126,5.5892,6.4518,6.0716,4.2559
18,20.9070,6.5960,7.1873,7.1237,4.5724
20,23.6774,7.3531,7.8855,8.4388,4.8659
22,26.6239,8.1194,8.9668,9.5377,5.1598
24,28.8212,8.6030,10.1928,10.0254,5.3685
26,31.0761,9.4035,11.1667,10.5059,5.5746
28,34.5743,10.2574,12.8456,11.4714,5.8800
30,37.8185,11.6371,14.2731,11.9083,6.1497
32,40.0585,12.3404,15.7317,11.9865,6.3292
34,41.4994,13.1437,16.3258,12.0299,6.4420
36,45.6928,14.3567,18.6075,12.7286,6.7596
38,47.2648,14.3122,19.6172,13.3354,6.8749
40,48.3079,14.8602,19.2272,14.2205,6.9504
42,50.0812,15.8842,19.2175,14.9794,7.0768
44,51.7195,16.7903,19.9759,14.9534,7.1916
46,53.2989,17.3786,20.6849,15.2353,7.3006
48,56.4661,18.6508,21.8262,15.9891,7.5144
50,58.0640,19.3298,21.8228,16.9114,7.6200
52,61.4849,20.5978,23.1015,17.7856,7.8412
54,65.4692,22.2431,23.8646,19.3615,8.0913
56,68.3906,23.1202,25.3083,19.9621,8.2699
58,71.2407,24.9389,24.6487,21.6530,8.4404
60,73.5775,26.3309,24.9608,22.2858,8.5777
62,77.0935,27.5472,26.2263,23.3200,8.7803
64,79.9543,29.2284,26.5851,24.1408,8.9417
66,83.6277,31.4223,27.5094,24.6960,9.1448
68,84.8689,31.4894,27.5240,25.8555,9.2124
70,85.1206,31.6029,27.6029,25.9149,9.2261
72,88.4429,34.0803,27.9695,26.3931,9.4044
74,92.7860,36.1762,28.6122,27.9977,9.6325
76,97.8204,37.6029,30.8121,29.4054,9.8904
78,100.6649,39.3808,30.6521,30.6320,10.0332
80,102.3141,40.1428,30.9544,31.2169,10.1150
82,104.7160,40.8593,31.6211,32.2357,10.2331
84,107.8593,42.9576,32.0820,32.8198,10.3855
86,111.4318,44.5350,33.0803,33.8166,10.5561
88,112.0807,44.7503,33.4817,33.8487,10.5868
90,116.1654,46.8306,34.9429,34.3919,10.7780
92,116.0873,45.4870,35.4739,35.1264,10.7744
94,119.1203,45.5735,36.9913,36.5555,10.9142
96,121.4964,45.7058,37.7446,38.0460,11.0225
98,126.7255,46.9031,38.7813,41.0411,11.2572
100,129.2952,48.4682,38.4440,42.3831,11.3708
102,133.5524,50.2508,40.0714,43.2301,11.5565
104,134.3289,49.6061,40.6704,44.0523,11.5900
106,135.5412,49.8016,40.9264,44.8132,11.6422
108,136.9424,49.8576,41.5470,45.5379,11.7022
110,139.8063,50.5737,42.8379,46.3947,11.8240
112,142.9788,52.4705,42.7244,47.7840,11.9574
114,147.4768,54.0466,44.7825,48.6477,12.1440
116,148.8657,53.3756,46.1607,49.3294,12.2011
118,150.2485,53.1379,46.8712,50.2394,12.2576
120,152.2151,53.2989,48.6678,50.2484,12.3375
122,152.8806,52.4226,49.3973,51.0608,12.3645
124,154.7262,53.2341,49.6766,51.8154,12.4389
126,157.4416,54.3616,50.8828,52.1972,12.5476
128,159.5661,54.2724,52.3756,52.9181,12.6319
130,160.8964,54.3073,53.2572,53.3319,12.6845
132,164.1896,55.1080,54.5299,54.5517,12.8136
134,164.2637,54.9572,55.2148,54.0917,12.8165
136,166.0664,55.4243,55.3326,55.3095,12.8867
138,165.9144,54.8399,56.1179,54.9566,12.8808
140,169.0768,55.3308,58.7489,54.9972,13.0030
142,170.6986,56.9694,58.0465,55.6826,13.0652
144,174.5899,58.8914,59.4910,56.2075,13.2132
146,177.8657,60.1931,60.1554,57.5172,13.3366
148,179.4091,60.3642,60.5456,58.4993,13.3944
150,179.0077,59.5377,61.9699,57.5001,13.3794
152,183.3164,59.3416,64.5130,59.4618,13.5394
154,185.2988,59.5172,64.9628,60.8188,13.6125
156,188.8358,61.1117,65.5411,62.1830,13.7418
158,190.7821,60.5696,66.9166,63.2959,13.8124
160,189.7946,60.6850,66.8720,62.2375,13.7766
162,194.1579,60.3647,70.4411,63.3521,13.9341
164,197.3700,60.4694,73.1580,63.7427,14.0488
166,199.4761,62.1892,73.6562,63.6307,14.1236
168,200.5069,63.1169,73.2101,64.1799,14.1600
170,200.2312,63.3237,72.8970,64.0106,14.1503
172,202.0016,63.6767,72.7190,65.6059,14.2127
174,206.3484,65.1104,74.0901,67.1479,14.3648
176,205.2509,64.3475,73.3303,67.5731,14.3266
178,208.6926,65.4869,74.0158,69.1899,14.4462
180,209.0799,65.7457,74.3263,69.0079,14.4596
182,212.5354,67.7854,74.7346,70.0154,14.5786
184,215.4047,69.1209,75.0619,71.2219,14.6767
186,215.3388,69.4206,74.6256,71.2926,14.6744
188,219.1316,70.7108,75.4724,72.9484,14.8031
190,226.2897,73.2811,78.5678,74.4408,15.0429
192,226.4463,73.7218,78.1648,74.5597,15.0481
194,229.9433,75.2069,80.2433,74.4931,15.1639
196,232.8642,77.6172,81.1158,74.1312,15.2599
198,234.5533,77.3882,81.2295,75.9357,15.3151
200,236.8364,78.0012,83.2961,75.5390,15.3895
202,238.6388,79.7772,83.3535,75.5081,15.4479
204,241.0043,79.6356,85.3237,76.0450,15.5243
206,241.0086,79.9576,84.8585,76.1925,15.5245
208,243.6219,81.7454,84.4872,77.3894,15.6084
210,248.6699,84.2532,84.9721,79.4446,15.7693
212,251.0034,85.6061,86.1256,79.2717,15.8431
214,252.0814,85.3779,86.0397,80.6638,15.8771
216,252.1543,83.4362,87.5151,81.2031,15.8794
218,253.0497,84.4694,85.8566,82.7237,15.9075
220,254.5130,85.4201,86.9260,82.1668,15.9535
222,259.1220,86.2009,89.8997,83.0213,16.0973
224,261.7025,86.7258,90.0615,84.9152,16.1772
226,261.7319,87.7731,88.5385,85.4203,16.1781
228,264.0755,88.2067,89.3873,86.4815,16.2504
230,266.4035,90.0043,89.8030,86.5961,16.3219
232,269.4265,91.1725,90.4687,87.7853,16.4142
234,269.0591,91.3102,89.6449,88.1040,16.4030
236,273.9300,91.1854,92.8655,89.8792,16.5508
238,279.5774,93.8250,95.4685,90.2840,16.7206
240,277.3387,93.1212,94.0265,90.1910,16.6535
242,280.2335,93.5677,94.7786,91.8872,16.7402
244,283.8738,94.1657,97.0672,92.6409,16.8486
246,287.8184,95.1739,99.6543,92.9902,16.9652
248,289.8155,96.3214,100.4747,93.0194,17.0240
250,292.8846,97.2271,102.2603,93.3973,17.1139
252,295.5492,98.0946,102.8125,94.6421,17.1915
254,300.0646,99.8838,104.7991,95.3816,17.3224
256,303.4659,101.0874,106.3376,96.0409,17.4203
258,305.5505,100.4364,108.5083,96.6058,17.4800
260,305.1710,99.8100,108.0673,97.2937,17.4691
262,307.0328,99.8052,108.8641,98.3635,17.5224
264,305.7151,100.3200,108.5729,96.8222,17.4847
266,308.0073,101.4564,109.1671,97.3838,17.5501
268,315.1611,104.8340,112.3689,97.9582,17.7528
270,320.2340,107.9644,113.2048,99.0649,17.8951
272,321.1027,109.1448,113.2967,98.6612,17.9193
274,325.1998,112.2238,112.5845,100.3914,18.0333
276,325.5160,113.1049,111.6530,100.7581,18.0421
278,325.6762,113.7763,111.5924,100.3075,18.0465
280,327.4610,116.6872,110.6739,100.1000,18.0959
282,334.4780,119.5878,112.6208,102.2694,18.2887
284,334.0816,120.1266,110.8704,103.0845,18.2779
286,336.2478,122.0161,110.4361,103.7957,18.3371
288,335.2379,124.0762,108.6251,102.5366,18.3095
290,335.8991,125.8159,106.9652,103.1179,18.3276
292,335.8464,126.4420,105.7648,103.6396,18.3261
294,344.0870,127.7228,110.4124,105.9519,18.5496
296,344.4187,128.2364,110.3850,105.7973,18.5585
298,346.4081,128.1024,112.1120,106.1938,18.6120
300,350.9025,130.7037,112.4875,107.7113,18.7324
302,352.0440,133.1928,112.4659,106.3853,18.7628
304,350.8066,131.8597,112.0613,106.8856,18.7298
306,352.3054,132.7047,111.4911,108.1095,18.7698
308,354.3363,134.3456,111.6394,108.3513,18.8238
310,357.1724,134.7912,112.5598,109.8213,18.8990
312,360.6614,136.0169,114.6644,109.9801,18.9911
314,361.7687,135.3861,116.0613,110.3213,19.0202
316,367.2270,137.2799,118.1954,111.7517,19.1632
318,374.2627,140.4405,120.2342,113.5880,19.3459
320,375.5341,139.2879,120.1640,116.0821,19.3787
322,374.0005,138.0935,120.3354,115.5716,19.3391
